Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-16,2019-05-16,York,Stakeholder Engagement,141.2,0,78,12.39,,231.59,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-17,2019-05-17,Balmoral,Stakeholder Engagement,,,8,,,8,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-20,2019-05-20,London,Inter-governmental meeting,181.97,,58,7,,246.97,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-22,2019-05-22,Bury St Edmunds,Office / Site Visit,75.49,,71.7,9.74,,156.93,
DR COLIN SULLIVAN,Chief Operating Officer,2019-05-30,2019-05-30,Birmingham,Stakeholder Engagement,177.51,10.3,33.99,2.45,,224.25,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-04,2019-06-04,Birmingham,Executive Management Team Meeting,55.82,99.3,28,195.9,,379.02,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-05,2019-06-05,London,Stakeholder Engagement,,,,192.65,,192.65,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-06,2019-06-06,London,Internal meetings,184.31,,30,6.5,,220.81,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-10,2019-06-10,York,Stakeholder Engagement,81.32,70.5,28,191.84,,371.66,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-11,2019-06-11,London,Internal meetings,,,,189.35,,189.35,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-12,2019-06-12,London,Office / Site Visit,79.4,,30,5.3,,114.7,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-18,2019-06-19,Birmingham,FSA Board Meeting,162.16,9,26.99,9.29,,207.44,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-19,2019-06-19,Birmingham,FSA Board Meeting,,,,4.1,,4.1,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-25,2019-06-25,London,EMT meeting,153.64,,30,191.09,,374.73,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-26,2019-06-26,London,Stakeholder Engagement,,89,,81,,170,
DR COLIN SULLIVAN,Chief Operating Officer,2019-06-27,2019-06-27,Birmingham,Inter-governmental meeting,146.19,,28,,,174.19,
