Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
STEVE WEARNE,Director of Policy,2018-10-16,2018-10-17,Edinburgh,FSA Board Retreat,144.06,,65,103,,312.06
STEVE WEARNE,Director of Policy,2019-10-19,2018-11-11,Brisbane,Inter-governmental meeting,3715.52,,,499.59,,4215.11
STEVE WEARNE,Director of Policy,2018-11-20,2018-11-21,Manchester,FSA Management Conference,,120,107,150,,377
STEVE WEARNE,Director of Policy,2018-12-04,2018-12-05,London,FSA Board Meeting,,,,238,,238
STEVE WEARNE,Director of Policy,2018-12-07,2018-12-15,Korea,Inter-governmental meeting,2113.4,102.23,2.36,837.26,,3055.25
STEVE WEARNE,Director of Policy,2018-12-17,2018-12-20,Rome,Inter-governmental meeting,660.1,13.95,44.9,247.16,,966.11
MICHAEL WIGHT, Interim Director of Policy,2018-10-02,2018-10-02,Birmingham,Executive Management Team Meeting,,55,,,,55
MICHAEL WIGHT, Interim Director of Policy,2018-11-20,2018-11-21,Manchester,FSA Management Conference,,66,,150,,216
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-01,2019-10-01,London,Staff Event,272.25,195.9,30,119.94,,618.09
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-02,2019-10-02,Birmingham , Internal Meetings,,176,,222.95,,398.95
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-03,2019-10-03,London,Stakeholder Engagement,221,,28,3.99,,252.99
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-15,2019-10-15,York , Internal Meetings,146.77,19.9,124.14,127.6,,418.41
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-16,2019-10-17,Edinburgh ,FSA Board Retreat,74.36,19.9,59.39,108.65,,262.3
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-23,2019-10-23,London, Internal Meetings,54.33,19.9,30,69.65,,173.88
DR COLIN SULLIVAN,Chief Operating Officer,2019-10-24,2019-10-24,York ,Staff Event,72.71,,28,5.64,,106.35
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-06,2019-11-06,London,Executive Management Team Meeting,129.97,103.9,30,64.34,,328.21
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-07,2019-11-08,York , Internal Meetings,114.71,,78,96.1,,288.81
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-12,2019-11-12,London, Internal Meetings,60.28,19.9,30,184.99,,295.17
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-13,2019-11-13,London, Internal Meetings,,,,161.25,,161.25
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-14,2019-11-14,London, Internal Meetings,154.94,,28,10.25,,193.19
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-20,2019-11-20,Manchester,FSA Management Conference,219.97,10.4,42.74,156.94,,430.05
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-26,2019-11-26,London, Internal Meetings,138.11,19.9,30,140.35,,328.36
DR COLIN SULLIVAN,Chief Operating Officer,2019-11-27,2019-11-27,London,Executive Management Team Meeting,91.94,,28,10.09,,130.03
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-03,2019-12-03,London, Internal Meetings,109.66,19.9,30,241.4,,400.96
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-04,2019-12-05,London,FSA Board Meeting,119.94,,28,241.28,,389.22
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-10,2019-12-10,London,Executive Management Team Meeting,153.09,19.9,30,355.64,,558.63
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-11,2019-12-12,London,Inter-governmental meeting,154.94,,28,16.49,,199.43
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-18,2019-12-18,London,Executive Management Team Meeting,44.23,19.9,30,97.19,,191.32
DR COLIN SULLIVAN,Chief Operating Officer,2019-12-19,2019-12-19,London, Internal Meetings,,,28,9.84,,37.84
