Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-04-04,2018-04-05,London, Internal Meetings,,132.1,2.4,16.9,,151.4
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-04-10,2018-04-12,London, Internal Meetings,,154.3,9,223.25,,386.55
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-04-17,2018-04-20,London, Internal Meetings,,138.8,11.8,206.5,,357.1
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-04-23,2018-04-26,London,External Conference,,196.2,4.8,415.35,,616.35
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-04-30,2018-05-01,London, Internal Meetings,,165.3,4.8,352.5,,522.6
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-02,2018-05-02,Birmingham,Executive Management Team Meeting,,126.3,,112.5,,238.8
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-03,2018-05-03,York, Internal Meetings,,119.9,,3.3,,123.2
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-04,2018-05-04,London, Internal Meetings,,124.9,4.8,,,129.7
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-08,2018-05-08,London, Internal Meetings,,194.2,2.4,,,196.6
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-10,2018-05-10,London, Internal Meetings,,154.3,2.4,,,156.7
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-15,2018-05-16,London, Internal Meetings,,154.3,,12.95,,167.25
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-21,2018-05-22,Belfast,Executive Management Team Meeting,104.66,,100,17.85,,222.51
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-24,2018-05-24,London, Internal Meetings,,132.4,4.8,,,137.2
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-05-30,2018-05-31,London, Internal Meetings,,154.3,4.8,119,,278.1
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-06-05,2018-06-06,London,Senior Leadership Team Meeting,,232.7,11.8,121.25,,365.75
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-06-07,2018-06-07,York,Staff Event,,119.9,,116.2,,236.1
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-06-11,2018-06-12,London, Internal Meetings,,111.4,9.2,20,,140.6
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-06-18,2018-06-20,York,FSA Board Meeting,,215.8,4.1,16.2,,236.1
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-06-26,2018-06-26,London,Executive Management Team Meeting,,83.5,10.4,111.9,,205.8
JULIE PIERCE,"Director of Openness, Data and Digital ",2018-06-27,2018-06-28,Stoneleigh and London,Stakeholder Engagement,,105.6,29.46,119,,254.06
NINA PURCELL,Director of Regulatory Delivery,2018-04-09,2018-04-10,London,Internal Meetings,,166.2,,152.94,,319.14
NINA PURCELL,Director of Regulatory Delivery,2018-04-23,2018-04-25,London,Executive Management Team Meeting ,,71.5,,272,,343.5
NINA PURCELL,Director of Regulatory Delivery,2018-05-01,2018-05-01,London,Stakeholder Engagement,,88.7,,,,88.7
NINA PURCELL,Director of Regulatory Delivery,2018-05-02,2018-05-02,Birmingham,Executive Management Team Meeting ,,20.2,5.36,1.2,,26.76
NINA PURCELL,Director of Regulatory Delivery,2018-05-03,2018-05-04,London,Internal Meetings,,176.6,,148.18,,324.78
NINA PURCELL,Director of Regulatory Delivery,2018-05-16,2018-05-17,London,Stakeholder Engagement,,101.6,12.76,135.4,,249.76
NINA PURCELL,Director of Regulatory Delivery,2018-05-21,2018-05-22,Belfast,Executive Management Team Meeting ,94.15,,78,110.25,,282.4
NINA PURCELL,Director of Regulatory Delivery,2018-05-30,2018-05-30,London,Internal Meetings,,230.8,5.36,14.15,,250.31
NINA PURCELL,Director of Regulatory Delivery,2018-06-18,2018-06-20,York,Board Meeting,,127.1,,260.3,,387.4
NINA PURCELL,Director of Regulatory Delivery,2018-06-21,2018-06-21,Birmingham,Stakeholder Engagement,,20.2,,4,,24.2
NINA PURCELL,Director of Regulatory Delivery,2018-06-25,2018-06-29,London,Executive Management Team Meeting / Stakeholder Engagement / Internal Meetings,,101.6,,713.74,,815.34
STEVE WEARNE,Director of Policy,2018-06-25,2018-06-29,Rome,Inter-governmental meeting,92.9,27.4,,525.3,,645.6
MICHAEL WIGHT, Interim Director of Policy,2018-04-18,2018-04-18,Harpenden,External Conference,,14.7,6,15,,35.7
MICHAEL WIGHT, Interim Director of Policy,2018-04-18,2018-04-19,York, Internal Meetings,,129,,,,129
MICHAEL WIGHT, Interim Director of Policy,2018-05-01,2018-05-02,Birmingham,Executive Management Team Meeting,,115.5,10.52,87,,213.02
MICHAEL WIGHT, Interim Director of Policy,2018-05-21,2018-05-22,Belfast,Executive Management Team Meeting,115.95,,,97.6,,213.55
MICHAEL WIGHT, Interim Director of Policy,2018-06-19,2018-06-20,York,FSA Board Meeting,,110,,115,,225
DR COLIN SULLIVAN,Chief Operating Officer,2018-04-03,2018-04-03,London , Internal Meetings,261.32,19.9,336.55,11.33,,629.1
DR COLIN SULLIVAN,Chief Operating Officer,2018-04-09,2018-04-11,Birmingham / Uttoxeter / London,Staff Event,227.95,70.5,54.95,400.46,,753.86
DR COLIN SULLIVAN,Chief Operating Officer,2018-04-18,2018-04-19,Barnsley / York ,Staff Event,474.54,55.8,197.56,66.89,,794.79
DR COLIN SULLIVAN,Chief Operating Officer,2018-04-23,2018-04-25,London , Internal Meetings,177.37,39.8,77.5,316.81,,611.48
DR COLIN SULLIVAN,Chief Operating Officer,2018-04-30,2018-04-30,London , Internal Meetings,242.37,19.9,58.18,7.45,,327.9
DR COLIN SULLIVAN,Chief Operating Officer,2018-05-02,2018-05-03,Birmingham / London , Internal Meetings,313.95,91.8,44.95,198.11,,648.81
DR COLIN SULLIVAN,Chief Operating Officer,2018-05-15,2018-05-17,Aberdeen / Salford ,External Conference,262.29,0,151.32,209.39,,623
DR COLIN SULLIVAN,Chief Operating Officer,2018-05-24,2018-05-24,Birmingham ,External Conference,230.79,7.6,25,5.79,,269.18
DR COLIN SULLIVAN,Chief Operating Officer,2018-06-04,2018-06-06,London ,Executive Management Team Meeting,339.81,26.55,68.63,358.13,,793.12
DR COLIN SULLIVAN,Chief Operating Officer,2018-06-11,2018-06-12,York / London ,Executive Management Team Meeting,289.95,36.5,150.76,157.01,,634.22
DR COLIN SULLIVAN,Chief Operating Officer,2018-06-18,2018-06-20,York / London ,FSA Board Meeting,165.98,42.4,201.33,165,,574.71
DR COLIN SULLIVAN,Chief Operating Officer,2018-06-26,2018-06-28,London / Cardiff, Internal Meetings,231.46,160.3,52,198,,641.76
