Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiBusGBP,SubsistenceAccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-01-21,2019-01-23,London,FSA Board Retreat,,110,4.4,218.95,,333.35,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-01-28,2019-01-30,London,Executive Management Team Meeting,,83,4.8,218.25,,306.05,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-02-05,2019-02-06,London, Internal Meetings,,160.5,15,143.61,,319.11,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-02-08,2019-02-08,London,External Conference,,119.6,4.8,,,124.4,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-02-12,2019-02-14,London, Internal Meetings,,206,9.6,225.55,,441.15,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-02-19,2019-02-21,London, Internal Meetings,,133,55.52,101.75,,290.27,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-02-25,2019-02-28,Nice,External Conference,320.94,92,125.56,291.52,,830.02,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-01,2019-03-01,London, Internal Meetings,,130,,,,130,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-04,2019-03-04,Cambridge,Membership of a Professional Body,,88.6,14.8,105.05,,208.45,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-05,2019-03-05,London,Executive Management Team Meeting,,25.1,12.4,150.5,,188,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-06,2019-03-06,London,Senior Leadership Team Meeting,,109,11.4,,,120.4,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-12,2019-03-14,London,FSA Board Meeting,,98,24.2,256.7,,378.9,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-19,2019-03-19,London, Internal Meetings,,104.9,2.4,172.75,,280.05,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-20,2019-03-20,Newport, Internal Meetings,,,25.4,109,,134.4,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-26,2019-03-26,London,Executive Management Team Meeting,,165.5,,,,165.5,
JULIE PIERCE,"Director of Openness, Data and Digital ",2019-03-28,2019-03-28,York,Office / Site Visit,,274.3,,5.04,,279.34,
STEVE WEARNE,Director of Policy,2019-01-21,2019-01-21,London,FSA Board Meeting,,,,102,,102,
STEVE WEARNE,Director of Policy,2019-02-04,2019-02-04,Rome,Inter-governmental meeting,100.3,38.57,43.8,127.37,,310.04,
STEVE WEARNE,Director of Policy,2019-02-24,2019-02-28,Nice,Inter-governmental meeting,134.14,,5.21,326.42,18,483.77,
STEVE WEARNE,Director of Policy,2019-03-12,2019-03-13,London,FSA Board Meeting,,,,194,,194,
STEVE WEARNE,Director of Policy,2019-03-13,2018-03-15,Bordeaux,Inter-governmental meeting,33.96,19.9,47.52,336.29,,437.67,
STEVE WEARNE,Director of Policy,2019-03-26,2019-03-27,London,Executive Management Team Meeting,,51.5,,,,51.5,
MICHAEL WIGHT, Interim Director of Policy,2019-02-13,2019-02-13,Cardiff, Internal Meetings,,107.8,,,,107.8,
MICHAEL WIGHT, Interim Director of Policy,2019-03-12,2019-03-13,London,FSA Board Meeting,,,,194,,194,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-08,2019-01-08,London, Internal Meetings,133.11,,30,138.78,,301.89,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-09,2019-01-09,London, Internal Meetings,71.94,,28,6.95,,106.89,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-14,2019-01-14,London, Internal Meetings,84,,30,108.24,,222.24,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-15,2019-01-15,London,Executive Management Team Meeting,58.94,,28,10.85,,97.79,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-21,2019-01-21,London, Internal Meetings,87.97,,30,3.85,,121.82,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-22,2019-01-22,London,FSA Board Retreat,0,,0,125,,125,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-23,2019-01-23,London,Executive Management Team Meeting,52.32,50.1,28,5.95,,136.37,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-28,2019-01-28,London, Internal Meetings,39.18,,30,101.84,,171.02,
DR COLIN SULLIVAN,Chief Operating Officer,2019-01-29,2019-01-29,London,Executive Management Team Meeting,0,,28,9.9,,37.9,
DR COLIN SULLIVAN,Chief Operating Officer,2019-02-04,2019-02-04,Isle of Man ,Staff Event,54.16,,30,86,,170.16,
DR COLIN SULLIVAN,Chief Operating Officer,2019-02-05,2019-02-05,Isle of Man ,Staff Event,90.38,,0,84.33,,174.71,
DR COLIN SULLIVAN,Chief Operating Officer,2019-02-06,2019-02-06,London,Stakeholder Engagement,71.94,,28,9.95,,109.89,
DR COLIN SULLIVAN,Chief Operating Officer,2019-02-13,2019-02-13,Cardiff, Internal Meetings,250.88,,86.46,11.1,,348.44,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-05,2019-03-05,London,Inter-governmental meeting,67.22,,30,189.4,,286.62,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-06,2019-03-06,London, Internal Meetings,0,,0,184.55,,184.55,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-07,2019-03-07,London,Inter-governmental meeting,119.94,,28,6.3,,154.24,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-11,2019-03-11,Birmingham, Internal Meetings,59.77,24.9,54.99,184.6,,324.26,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-12,2019-03-12,London, Internal Meetings,0,,0,167,,167,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-13,2019-03-13,London,FSA Board Meeting,62.94,,0,9.95,,72.89,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-15,2019-03-15,London,Inter-governmental meeting,235.34,,58,4.69,,298.03,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-20,2019-03-20,London, Internal Meetings,55.15,52.5,39.89,96.88,,244.42,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-21,2019-03-21,Peterborough,Staff Event,75.52,59.05,10.56,6.85,,151.98,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-26,2019-03-26,London,Executive Management Team Meeting,119.28,,30,176.49,,325.77,
DR COLIN SULLIVAN,Chief Operating Officer,2019-03-27,2019-03-27,London,Inter-governmental meeting,102.94,,28,9.95,,140.89,
